"Measurement outcome","Frequency"
"0x0","1"
"0x1","2"
"0x10","1"
"0x100","4"
"0x1000","1"
"0x1001","1"
"0x1002","3"
"0x1003","2"
"0x1006","2"
"0x1007","3"
"0x1008","1"
"0x1009","1"
"0x100a","1"
"0x100c","1"
"0x100e","2"
"0x1011","1"
"0x1013","1"
"0x1017","1"
"0x1018","1"
"0x1019","1"
"0x101a","2"
"0x101b","2"
"0x101c","1"
"0x101e","1"
"0x101f","3"
"0x102","1"
"0x1020","1"
"0x1021","3"
"0x1022","3"
"0x1023","1"
"0x1025","2"
"0x1026","1"
"0x1027","2"
"0x1029","1"
"0x102b","1"
"0x102d","2"
"0x102e","1"
"0x102f","1"
"0x103","2"
"0x1030","2"
"0x1031","3"
"0x1032","2"
"0x1033","2"
"0x1035","2"
"0x1036","1"
"0x103a","1"
"0x103b","2"
"0x103c","1"
"0x103e","1"
"0x1040","1"
"0x1042","1"
"0x1043","1"
"0x1045","2"
"0x1049","1"
"0x105","1"
"0x1050","2"
"0x1051","1"
"0x1052","1"
"0x1054","1"
"0x1055","5"
"0x1056","4"
"0x1058","2"
"0x105a","1"
"0x105d","4"
"0x105e","1"
"0x106","2"
"0x1060","1"
"0x1061","1"
"0x1062","1"
"0x1063","1"
"0x1064","1"
"0x1065","1"
"0x1066","1"
"0x1067","1"
"0x1068","1"
"0x106b","1"
"0x106f","1"
"0x1070","2"
"0x1072","1"
"0x1073","1"
"0x1075","1"
"0x1076","1"
"0x1077","1"
"0x1078","1"
"0x1079","2"
"0x107a","1"
"0x107b","3"
"0x107d","1"
"0x109","1"
"0x10b","1"
"0x1101","1"
"0x1102","3"
"0x1103","3"
"0x1104","2"
"0x1106","1"
"0x1107","1"
"0x1108","1"
"0x1109","4"
"0x110d","2"
"0x110e","1"
"0x111","1"
"0x1110","1"
"0x1111","2"
"0x1112","1"
"0x1113","1"
"0x1114","3"
"0x1117","1"
"0x1119","2"
"0x111b","1"
"0x111f","2"
"0x112","2"
"0x1120","1"
"0x1121","1"
"0x1123","1"
"0x1126","2"
"0x1128","2"
"0x1129","1"
"0x112c","1"
"0x112d","2"
"0x113","1"
"0x1130","1"
"0x1131","1"
"0x1132","1"
"0x1133","1"
"0x1136","3"
"0x1137","2"
"0x1139","1"
"0x113d","1"
"0x113e","1"
"0x1141","2"
"0x1144","1"
"0x1145","1"
"0x1147","1"
"0x1148","3"
"0x114a","2"
"0x114b","1"
"0x114d","1"
"0x115","1"
"0x1150","2"
"0x1151","2"
"0x1153","1"
"0x1154","1"
"0x1155","2"
"0x1156","2"
"0x1157","3"
"0x1158","2"
"0x1159","1"
"0x115a","1"
"0x115b","1"
"0x115c","2"
"0x115d","1"
"0x115f","1"
"0x1160","2"
"0x1161","1"
"0x1162","2"
"0x1164","1"
"0x1166","3"
"0x1168","1"
"0x1169","1"
"0x116b","2"
"0x116c","1"
"0x117","2"
"0x1170","2"
"0x1173","2"
"0x1174","1"
"0x1175","2"
"0x1176","3"
"0x117a","1"
"0x117b","1"
"0x117d","1"
"0x117e","2"
"0x118","1"
"0x119","2"
"0x11c","2"
"0x11d","1"
"0x1200","2"
"0x1201","2"
"0x1203","1"
"0x1205","1"
"0x1206","2"
"0x1208","1"
"0x120a","1"
"0x120c","2"
"0x120e","2"
"0x1210","1"
"0x1211","1"
"0x1212","2"
"0x1213","1"
"0x1214","1"
"0x1215","1"
"0x1216","2"
"0x1219","1"
"0x121a","1"
"0x121d","1"
"0x1221","1"
"0x1222","1"
"0x1225","1"
"0x1226","1"
"0x1228","1"
"0x1229","1"
"0x123","3"
"0x1231","1"
"0x1232","1"
"0x1233","1"
"0x1234","1"
"0x1235","1"
"0x1236","1"
"0x123c","2"
"0x123d","2"
"0x123e","1"
"0x123f","1"
"0x124","5"
"0x1242","2"
"0x1243","2"
"0x1244","2"
"0x1246","1"
"0x1247","1"
"0x1249","1"
"0x124b","1"
"0x124c","2"
"0x124f","1"
"0x125","1"
"0x1251","1"
"0x1252","2"
"0x1253","3"
"0x1254","2"
"0x1256","1"
"0x1257","2"
"0x1259","1"
"0x125a","1"
"0x125c","2"
"0x125d","1"
"0x125e","1"
"0x126","2"
"0x1260","1"
"0x1261","1"
"0x1262","1"
"0x1263","1"
"0x1264","1"
"0x1266","1"
"0x1267","1"
"0x1269","1"
"0x126c","1"
"0x126d","1"
"0x127","2"
"0x1270","1"
"0x1274","2"
"0x1276","1"
"0x1277","2"
"0x1278","1"
"0x1279","1"
"0x127b","1"
"0x127c","1"
"0x127f","1"
"0x128","2"
"0x129","1"
"0x12b","1"
"0x12c","1"
"0x12d","1"
"0x13","1"
"0x1300","3"
"0x1301","2"
"0x1302","1"
"0x1303","4"
"0x1304","2"
"0x1305","3"
"0x1306","1"
"0x1307","1"
"0x1308","1"
"0x130b","1"
"0x130d","1"
"0x131","2"
"0x1310","1"
"0x1311","3"
"0x1312","1"
"0x1313","2"
"0x1315","2"
"0x1317","2"
"0x1319","1"
"0x131c","3"
"0x131d","1"
"0x131e","1"
"0x1320","1"
"0x1321","3"
"0x1322","1"
"0x1324","2"
"0x1325","1"
"0x1326","1"
"0x1328","1"
"0x1329","1"
"0x132a","2"
"0x132c","1"
"0x132d","1"
"0x133","1"
"0x1330","3"
"0x1333","1"
"0x1335","1"
"0x1337","1"
"0x1338","1"
"0x133b","1"
"0x133c","2"
"0x133d","1"
"0x133e","1"
"0x133f","2"
"0x1340","2"
"0x1341","2"
"0x1342","3"
"0x1345","3"
"0x1346","3"
"0x1347","3"
"0x1348","1"
"0x1349","1"
"0x134a","1"
"0x134b","1"
"0x134d","1"
"0x134f","3"
"0x135","2"
"0x1350","3"
"0x1351","2"
"0x1352","4"
"0x1353","2"
"0x1354","2"
"0x1355","1"
"0x1357","1"
"0x1358","1"
"0x135b","1"
"0x135c","3"
"0x135e","1"
"0x135f","1"
"0x1361","1"
"0x1363","1"
"0x1364","2"
"0x1366","2"
"0x1367","2"
"0x1369","1"
"0x136a","1"
"0x136f","2"
"0x137","2"
"0x1370","1"
"0x1371","3"
"0x1372","1"
"0x1373","1"
"0x1375","2"
"0x1376","1"
"0x1377","2"
"0x1378","1"
"0x137a","1"
"0x137d","2"
"0x137f","1"
"0x138","1"
"0x139","3"
"0x13a","1"
"0x13c","1"
"0x13d","1"
"0x13d1","1"
"0x13e","1"
"0x13f","1"
"0x1400","3"
"0x1401","2"
"0x1402","1"
