"Measurement outcome","Frequency"
"0x0","17"
"0x1","26"
"0x10","12"
"0x100","9"
"0x101","13"
"0x102","28"
"0x103","15"
"0x104","18"
"0x105","19"
"0x106","33"
"0x107","20"
"0x108","18"
"0x109","22"
"0x10a","17"
"0x10b","25"
"0x10c","15"
"0x10d","17"
"0x10e","20"
"0x10f","19"
"0x11","21"
"0x110","16"
"0x111","19"
"0x112","21"
"0x113","23"
"0x114","18"
"0x115","14"
"0x116","15"
"0x117","29"
"0x118","17"
"0x119","12"
"0x11a","17"
"0x11b","14"
"0x11c","17"
"0x11d","14"
"0x11e","22"
"0x11f","14"
"0x12","11"
"0x12d","1"
"0x13","16"
"0x14","19"
"0x140","13"
"0x141","13"
"0x142","17"
"0x143","23"
"0x144","11"
"0x145","14"
"0x146","16"
"0x147","13"
"0x148","13"
"0x149","16"
"0x14a","15"
"0x14b","16"
"0x14c","17"
"0x14d","11"
"0x14e","17"
"0x14f","8"
"0x15","21"
"0x150","13"
"0x151","5"
"0x152","17"
"0x153","9"
"0x154","8"
"0x155","17"
"0x156","18"
"0x157","11"
"0x158","8"
"0x159","14"
"0x15a","15"
"0x15b","22"
"0x15c","12"
"0x15d","16"
"0x15e","15"
"0x15f","14"
"0x16","21"
"0x167","1"
"0x17","20"
"0x170","1"
"0x18","20"
"0x180","19"
"0x181","14"
"0x182","22"
"0x183","23"
"0x184","19"
"0x185","13"
"0x186","25"
"0x187","29"
"0x188","20"
"0x189","20"
"0x18a","22"
"0x18b","25"
"0x18c","17"
"0x18d","18"
"0x18e","28"
"0x18f","18"
"0x19","16"
"0x190","10"
"0x191","11"
"0x192","18"
"0x193","23"
"0x194","16"
"0x195","18"
"0x196","19"
"0x197","24"
"0x198","12"
"0x199","15"
"0x19a","14"
"0x19b","23"
"0x19c","24"
"0x19d","13"
"0x19e","25"
"0x19f","22"
"0x1a","18"
"0x1a2","1"
"0x1b","19"
"0x1c","11"
"0x1c0","10"
"0x1c1","18"
"0x1c2","14"
"0x1c3","19"
"0x1c4","11"
"0x1c5","19"
"0x1c6","15"
"0x1c7","17"
"0x1c8","15"
"0x1c9","8"
"0x1ca","13"
"0x1cb","12"
"0x1cc","10"
"0x1cd","10"
"0x1ce","18"
"0x1cf","15"
"0x1d","18"
"0x1d0","13"
"0x1d1","15"
"0x1d2","15"
"0x1d3","10"
"0x1d4","10"
"0x1d5","12"
"0x1d6","9"
"0x1d7","11"
"0x1d8","11"
"0x1d9","19"
"0x1da","10"
"0x1db","13"
"0x1dc","10"
"0x1dd","13"
"0x1de","16"
"0x1df","17"
"0x1e","12"
"0x1f","22"
"0x2","16"
"0x200","18"
"0x201","10"
"0x202","17"
"0x203","21"
"0x204","14"
"0x205","10"
"0x206","30"
"0x207","20"
"0x208","11"
"0x209","15"
"0x20a","17"
"0x20b","14"
"0x20c","16"
"0x20d","15"
"0x20e","22"
"0x20f","17"
"0x210","8"
"0x211","14"
"0x212","20"
"0x213","15"
"0x214","18"
"0x215","22"
"0x216","19"
"0x217","20"
"0x218","22"
"0x219","19"
"0x21a","17"
"0x21b","13"
"0x21c","16"
"0x21d","17"
"0x21e","21"
"0x21f","17"
"0x220","1"
"0x22d","1"
"0x23","1"
"0x240","11"
"0x241","10"
"0x242","12"
"0x243","19"
"0x244","19"
"0x245","9"
"0x246","21"
"0x247","16"
"0x248","8"
"0x249","8"
"0x24a","8"
"0x24b","8"
"0x24c","13"
"0x24d","13"
"0x24e","14"
"0x24f","13"
"0x250","12"
"0x251","14"
"0x252","13"
"0x253","10"
"0x254","13"
"0x255","12"
"0x256","19"
"0x257","10"
"0x258","7"
"0x259","19"
"0x25a","12"
"0x25b","17"
"0x25c","13"
"0x25d","17"
"0x25e","12"
"0x25f","19"
"0x280","15"
"0x281","16"
"0x282","16"
"0x283","21"
"0x284","11"
"0x285","12"
"0x286","16"
"0x287","21"
"0x288","17"
"0x289","19"
"0x28a","13"
"0x28b","24"
"0x28c","11"
