"Measurement outcome","Frequency"
"0x0","4"
"0x1","8"
"0x10","11"
"0x100","7"
"0x101","3"
"0x102","1"
"0x103","1"
"0x104","6"
"0x105","3"
"0x106","1"
"0x108","6"
"0x109","4"
"0x10a","3"
"0x10b","2"
"0x10c","11"
"0x10d","4"
"0x10e","3"
"0x10f","1"
"0x11","6"
"0x110","8"
"0x111","3"
"0x112","1"
"0x113","1"
"0x114","7"
"0x115","8"
"0x116","1"
"0x117","5"
"0x118","6"
"0x119","6"
"0x11a","3"
"0x11b","2"
"0x11c","5"
"0x11d","11"
"0x11e","1"
"0x11f","1"
"0x12","1"
"0x120","5"
"0x121","4"
"0x123","1"
"0x124","5"
"0x125","11"
"0x126","5"
"0x127","3"
"0x128","6"
"0x129","7"
"0x12b","1"
"0x12c","9"
"0x12d","5"
"0x12e","5"
"0x12f","2"
"0x130","5"
"0x131","9"
"0x132","2"
"0x133","1"
"0x134","7"
"0x135","9"
"0x136","2"
"0x137","3"
"0x138","7"
"0x139","6"
"0x13a","1"
"0x13b","3"
"0x13c","8"
"0x13d","12"
"0x13e","1"
"0x13f","2"
"0x14","2"
"0x15","4"
"0x16","3"
"0x17","2"
"0x18","7"
"0x180","7"
"0x181","4"
"0x183","1"
"0x184","5"
"0x185","5"
"0x186","2"
"0x188","5"
"0x189","4"
"0x18a","3"
"0x18b","1"
"0x18c","7"
"0x18d","2"
"0x18e","2"
"0x18f","1"
"0x19","15"
"0x190","4"
"0x191","6"
"0x192","1"
"0x193","2"
"0x194","4"
"0x195","5"
"0x196","2"
"0x198","4"
"0x199","6"
"0x19a","2"
"0x19b","3"
"0x19c","6"
"0x19d","6"
"0x19f","2"
"0x1a0","7"
"0x1a1","3"
"0x1a3","2"
"0x1a4","5"
"0x1a5","3"
"0x1a6","2"
"0x1a7","1"
"0x1a8","7"
"0x1a9","5"
"0x1ab","1"
"0x1ac","5"
"0x1ad","9"
"0x1ae","1"
"0x1b0","4"
"0x1b1","6"
"0x1b2","3"
"0x1b3","1"
"0x1b4","3"
"0x1b5","3"
"0x1b6","3"
"0x1b7","1"
"0x1b8","6"
"0x1b9","8"
"0x1ba","2"
"0x1bb","4"
"0x1bc","4"
"0x1bd","6"
"0x1be","1"
"0x1bf","1"
"0x1c","7"
"0x1d","5"
"0x1f","2"
"0x20","3"
"0x200","6"
"0x201","7"
"0x202","2"
"0x204","4"
"0x205","2"
"0x206","1"
"0x207","1"
"0x208","3"
"0x209","9"
"0x20a","3"
"0x20b","2"
"0x20c","3"
"0x20d","6"
"0x20e","1"
"0x20f","3"
"0x21","2"
"0x210","5"
"0x211","12"
"0x213","1"
"0x214","11"
"0x215","2"
"0x216","1"
"0x217","3"
"0x218","4"
"0x219","9"
"0x21a","1"
"0x21b","3"
"0x21c","5"
"0x21d","4"
"0x21e","3"
"0x22","2"
"0x220","6"
"0x221","4"
"0x222","1"
"0x223","2"
"0x224","4"
"0x225","3"
"0x226","2"
"0x227","3"
"0x228","3"
"0x229","4"
"0x22a","3"
"0x22b","2"
"0x22d","7"
"0x22f","2"
"0x23","2"
"0x230","4"
"0x231","6"
"0x233","2"
"0x234","4"
"0x235","5"
"0x237","3"
"0x238","4"
"0x239","1"
"0x23b","3"
"0x23d","4"
"0x23f","2"
"0x24","5"
"0x25","4"
"0x251","1"
"0x26","4"
"0x27","1"
"0x28","10"
"0x280","7"
"0x281","3"
"0x282","3"
"0x284","8"
"0x285","3"
"0x286","2"
"0x287","1"
"0x288","7"
"0x289","4"
"0x28a","3"
"0x28c","5"
"0x28d","8"
"0x28e","2"
"0x28f","4"
"0x29","10"
