"Measurement outcome","Frequency"
"00000000","109"
"00000010","104"
"00000100","117"
"00000101","2"
"00000110","112"
"00000111","4"
"00001000","122"
"00001001","1"
"00001010","109"
"00001100","116"
"00001110","110"
"00001111","3"
"00010000","1"
"00010100","1"
"00100000","127"
"00100010","121"
"00100011","2"
"00100100","119"
"00100101","1"
"00100110","127"
"00101000","118"
"00101001","1"
"00101010","110"
"00101011","1"
"00101100","130"
"00101110","117"
"00101111","1"
"00110010","1"
"00110110","1"
"00111000","1"
"01000000","116"
"01000001","1"
"01000010","110"
"01000011","1"
"01000100","106"
"01000110","115"
"01000111","2"
"01001000","115"
"01001010","126"
"01001011","2"
"01001100","96"
"01001101","2"
"01001110","119"
"01001111","2"
"01010110","1"
"01100000","140"
"01100001","2"
"01100010","143"
"01100100","100"
"01100101","3"
"01100110","122"
"01100111","2"
"01101000","111"
"01101001","2"
"01101010","137"
"01101011","2"
"01101100","130"
"01101101","2"
"01101110","100"
"01101111","3"
"01110000","1"
"01111010","2"
"10000000","127"
"10000010","152"
"10000011","1"
"10000100","137"
"10000101","1"
"10000110","145"
"10000111","1"
"10001000","114"
"10001010","149"
"10001011","1"
"10001100","126"
"10001101","2"
"10001110","133"
"10001111","2"
"10011110","1"
"10100000","134"
"10100001","1"
"10100010","151"
"10100011","1"
"10100100","127"
"10100101","1"
"10100110","147"
"10100111","3"
"10101000","154"
"10101001","3"
"10101010","123"
"10101011","2"
"10101100","124"
"10101101","3"
"10101110","143"
"10101111","1"
"10110100","1"
"10111000","1"
"10111110","1"
"11000000","133"
"11000001","3"
"11000010","146"
"11000011","2"
"11000100","106"
"11000101","1"
"11000110","148"
"11001000","137"
"11001001","3"
"11001010","117"
"11001100","100"
"11001101","3"
"11001110","125"
"11010000","2"
"11010010","1"
"11011000","2"
"11011010","1"
"11100000","143"
"11100001","1"
"11100010","133"
"11100011","1"
"11100100","155"
"11100101","3"
"11100110","120"
"11100111","1"
"11101000","148"
"11101001","3"
"11101010","143"
"11101011","6"
"11101100","124"
"11101101","1"
"11101110","156"
"11101111","3"
"11110100","1"
"11111000","1"
"11111100","1"
