"Measurement outcome","Frequency"
"0x10016","1"
"0x10032","1"
"0x10034","1"
"0x10038","1"
"0x1003e","1"
"0x10042","1"
"0x1004a","1"
"0x10052","1"
"0x10058","1"
"0x1005c","1"
"0x1005e","1"
"0x10076","1"
"0x10080","1"
"0x10088","1"
"0x1009c","1"
"0x100b0","1"
"0x100c","1"
"0x100c4","1"
"0x100c8","1"
"0x100ce","1"
"0x100d8","3"
"0x100e2","1"
"0x100e8","1"
"0x100fe","1"
"0x1010c","1"
"0x10148","1"
"0x1015a","1"
"0x10166","1"
"0x1017c","1"
"0x10198","1"
"0x1019a","1"
"0x1019c","1"
"0x101b0","1"
"0x101c","1"
"0x101c0","1"
"0x101da","1"
"0x101dc","1"
"0x101fa","1"
"0x1024","1"
"0x1041a","1"
"0x10438","1"
"0x1043a","1"
"0x10440","1"
"0x10458","1"
"0x10462","1"
"0x10464","1"
"0x10492","1"
"0x10498","1"
"0x104a6","1"
"0x104ae","1"
"0x104ba","1"
"0x104bc","1"
"0x104be","1"
"0x104c4","1"
"0x104c6","1"
"0x104ca","1"
"0x104ee","1"
"0x10506","1"
"0x10516","1"
"0x10530","1"
"0x10536","1"
"0x10542","1"
"0x1056e","1"
"0x1057e","1"
"0x10594","1"
"0x105c2","1"
"0x105cc","1"
"0x105d8","2"
"0x105e2","1"
"0x105e8","1"
"0x105f2","1"
"0x1064","1"
"0x1076","1"
"0x107e","1"
"0x10826","1"
"0x10828","1"
"0x1084","1"
"0x1085e","1"
"0x10878","2"
"0x10886","1"
"0x108da","1"
"0x108ea","1"
"0x108ee","2"
"0x108f2","1"
"0x10906","1"
"0x10910","1"
"0x10912","1"
"0x10916","1"
"0x1091a","1"
"0x1091c","1"
"0x1092","1"
"0x1092a","1"
"0x10930","1"
"0x10932","1"
"0x10934","1"
"0x10938","2"
"0x10972","2"
"0x10974","1"
"0x1099","1"
"0x10990","1"
"0x109b4","1"
"0x109ba","2"
"0x109f6","1"
"0x10c00","1"
"0x10c24","1"
"0x10c26","1"
"0x10c36","1"
"0x10c48","1"
"0x10c70","1"
"0x10c78","2"
"0x10c86","1"
"0x10c8e","1"
"0x10c92","1"
"0x10cac","1"
"0x10cb8","1"
"0x10d1c","1"
"0x10d28","1"
"0x10d6","1"
"0x10d68","1"
"0x10d70","1"
"0x10d84","1"
"0x10d8a","1"
"0x10d8e","1"
"0x10da6","1"
"0x10db4","1"
"0x10db8","1"
"0x10dbc","1"
"0x10dc8","1"
"0x10dde","1"
"0x10de4","1"
"0x10df0","1"
"0x10e2","1"
"0x10fc","1"
"0x1103a","1"
"0x1103c","1"
"0x1104e","1"
"0x1106","1"
"0x1107a","1"
"0x1108a","1"
"0x110be","1"
"0x110e2","1"
"0x11102","2"
"0x1110a","1"
"0x11128","1"
"0x1113e","1"
"0x1114c","1"
"0x11150","1"
"0x11152","1"
"0x11168","1"
"0x11196","1"
"0x111ac","1"
"0x111b8","1"
"0x111be","1"
"0x111c","1"
"0x111c0","1"
"0x111e8","1"
"0x111f6","1"
"0x1126","1"
"0x112a","1"
"0x11428","1"
"0x1142e","1"
"0x11430","1"
"0x1143a","1"
"0x1144c","1"
"0x1145","1"
"0x11456","1"
"0x1145c","2"
"0x11474","1"
"0x1147a","1"
"0x11480","1"
"0x114ac","1"
"0x114b4","1"
"0x114b8","1"
"0x114da","1"
"0x114e0","1"
"0x114f4","1"
"0x114fa","1"
"0x1150a","1"
"0x1150e","1"
"0x1151e","1"
"0x11526","1"
"0x1154a","1"
"0x11550","1"
"0x1155a","1"
"0x11574","1"
"0x11586","1"
"0x115ac","1"
"0x115b6","1"
