"Measurement outcome","Frequency"
"0x10000","1"
"0x10004","1"
"0x10006","1"
"0x1001a","1"
"0x10021","1"
"0x1003a","1"
"0x1004a","1"
"0x1006","1"
"0x1008","1"
"0x1008a","1"
"0x10092","1"
"0x100be","1"
"0x100c","1"
"0x100c6","1"
"0x100da","1"
"0x100e2","1"
"0x100ee","1"
"0x10132","1"
"0x1013e","1"
"0x10142","1"
"0x10156","1"
"0x10170","1"
"0x10176","1"
"0x10184","1"
"0x1018a","1"
"0x1019a","1"
"0x1019e","2"
"0x101a2","1"
"0x101b2","1"
"0x101d4","2"
"0x101dc","1"
"0x101f6","1"
"0x1026","1"
"0x102a","1"
"0x1032","1"
"0x10408","1"
"0x10414","2"
"0x1041c","1"
"0x10432","1"
"0x10438","1"
"0x1043a","1"
"0x1045c","1"
"0x10462","1"
"0x1046a","1"
"0x10472","1"
"0x10476","1"
"0x10480","1"
"0x1049c","1"
"0x104e6","1"
"0x104f4","1"
"0x104fa","1"
"0x10506","1"
"0x1050a","1"
"0x1051a","1"
"0x10536","1"
"0x10544","1"
"0x10552","1"
"0x10568","1"
"0x1056e","1"
"0x1057e","1"
"0x10586","1"
"0x1058e","1"
"0x10594","1"
"0x1059e","1"
"0x105ae","1"
"0x105b2","1"
"0x105ca","1"
"0x105d2","1"
"0x105d9","1"
"0x105ea","1"
"0x1068","1"
"0x1074","1"
"0x1076","1"
"0x107c","1"
"0x108","2"
"0x10802","1"
"0x10822","1"
"0x10834","1"
"0x1083a","1"
"0x10846","1"
"0x1084a","1"
"0x1084e","1"
"0x1085c","1"
"0x10864","1"
"0x10870","1"
"0x10896","1"
"0x108a4","2"
"0x108be","1"
"0x108c0","1"
"0x108d0","1"
"0x108e0","1"
"0x108e2","1"
"0x108fa","1"
"0x10904","1"
"0x10906","2"
"0x1090e","2"
"0x10918","1"
"0x1092","1"
"0x10926","1"
"0x10928","1"
"0x1092e","1"
"0x1093a","1"
"0x1093e","2"
"0x1094","1"
"0x10946","2"
"0x10966","1"
"0x10972","1"
"0x1097a","1"
"0x1097c","1"
"0x10986","1"
"0x10996","1"
"0x109a2","1"
"0x109b2","1"
"0x109da","1"
"0x109e4","1"
"0x109e8","1"
"0x10a2","1"
"0x10ae","1"
"0x10c04","1"
"0x10c06","1"
"0x10c10","1"
"0x10c20","1"
"0x10c48","1"
"0x10c52","1"
"0x10c54","1"
"0x10c62","1"
"0x10c6c","1"
"0x10c78","1"
"0x10c7a","1"
"0x10c8","1"
"0x10c8a","1"
"0x10c92","1"
"0x10ca2","1"
"0x10ca4","1"
"0x10cc8","1"
"0x10cce","1"
"0x10cea","1"
"0x10cf8","1"
"0x10d14","1"
"0x10d24","1"
"0x10d2a","1"
"0x10d38","1"
"0x10d40","1"
"0x10d44","1"
"0x10d4a","1"
"0x10d4c","1"
"0x10d4e","1"
"0x10d54","1"
"0x10d64","1"
"0x10d6a","1"
"0x10d6c","1"
"0x10d9a","1"
"0x10da2","1"
"0x10da6","1"
"0x10dac","2"
"0x10db2","1"
"0x10db6","1"
"0x10db8","1"
"0x10dca","1"
"0x10dcc","1"
"0x10dd6","1"
"0x10de6","2"
"0x10dfc","1"
"0x10f0","1"
"0x11000","1"
"0x11032","1"
"0x11044","1"
"0x11048","1"
"0x11054","1"
"0x1108","1"
"0x11082","1"
"0x110a4","1"
"0x110cc","1"
"0x110f2","1"
"0x110fe","1"
"0x1110","1"
"0x1111a","1"
