"Measurement outcome","Frequency"
"0x0","33"
"0x10","31"
"0x100","30"
"0x102","31"
"0x104","22"
"0x106","23"
"0x108","17"
"0x10a","27"
"0x10c","26"
"0x10e","27"
"0x11","2"
"0x110","27"
"0x111","2"
"0x112","31"
"0x114","23"
"0x116","33"
"0x118","25"
"0x119","1"
"0x11a","36"
"0x11b","1"
"0x11c","28"
"0x11e","21"
"0x11f","1"
"0x12","26"
"0x13","1"
"0x14","24"
"0x140","23"
"0x141","1"
"0x142","26"
"0x144","30"
"0x146","27"
"0x148","23"
"0x14a","24"
"0x14c","16"
"0x14e","22"
"0x14f","3"
"0x150","26"
"0x152","27"
"0x154","33"
"0x155","1"
"0x156","31"
"0x158","18"
"0x15a","25"
"0x15c","24"
"0x15e","23"
"0x16","28"
"0x170","1"
"0x18","22"
"0x180","44"
"0x182","42"
"0x184","30"
"0x185","1"
"0x186","30"
"0x188","34"
"0x18a","46"
"0x18c","28"
"0x18e","23"
"0x190","33"
"0x191","1"
"0x192","27"
"0x193","2"
"0x194","24"
"0x196","25"
"0x197","1"
"0x198","35"
"0x19a","43"
"0x19c","29"
"0x19e","25"
"0x1a","21"
"0x1c","30"
"0x1c0","33"
"0x1c2","48"
"0x1c4","28"
"0x1c5","2"
"0x1c6","36"
"0x1c8","36"
"0x1ca","49"
"0x1cc","28"
"0x1ce","23"
"0x1d0","40"
"0x1d2","36"
"0x1d3","1"
"0x1d4","28"
"0x1d6","34"
"0x1d7","1"
"0x1d8","40"
"0x1da","45"
"0x1dc","26"
"0x1de","32"
"0x1e","24"
"0x2","21"
"0x20","1"
"0x200","35"
"0x202","38"
"0x204","27"
"0x205","1"
"0x206","31"
"0x208","42"
"0x20a","37"
"0x20c","37"
"0x20e","27"
"0x210","35"
"0x212","31"
"0x214","30"
"0x216","27"
"0x218","27"
"0x219","1"
"0x21a","35"
"0x21c","33"
"0x21e","29"
"0x21f","1"
"0x22","1"
"0x22e","1"
"0x230","2"
"0x236","1"
"0x240","36"
"0x242","28"
"0x244","29"
"0x246","24"
"0x248","35"
"0x249","1"
"0x24a","24"
"0x24c","32"
"0x24d","2"
"0x24e","25"
"0x250","25"
"0x252","34"
"0x253","1"
"0x254","31"
"0x256","37"
"0x257","1"
"0x258","27"
"0x25a","18"
"0x25c","24"
"0x25d","1"
"0x25e","33"
"0x264","1"
"0x278","1"
"0x28","1"
"0x280","41"
"0x281","2"
"0x282","50"
"0x284","40"
"0x285","1"
"0x286","35"
"0x288","46"
"0x28a","41"
"0x28c","32"
"0x28e","30"
"0x28f","1"
"0x290","44"
"0x292","46"
"0x294","37"
"0x296","26"
"0x298","41"
"0x29a","43"
"0x29c","38"
"0x29e","21"
"0x29f","2"
"0x2a6","1"
"0x2b6","1"
"0x2ba","1"
"0x2c0","43"
"0x2c1","1"
"0x2c2","54"
"0x2c3","2"
"0x2c4","29"
"0x2c6","24"
"0x2c8","27"
"0x2ca","44"
"0x2cc","30"
