"Measurement outcome","Frequency"
"000000","525"
"000001","7"
"000010","463"
"000011","7"
"000100","501"
"000101","9"
"000110","508"
"000111","4"
"001010","2"
"001100","2"
"001110","1"
"010000","502"
"010001","2"
"010010","451"
"010011","5"
"010100","451"
"010101","5"
"010110","537"
"010111","4"
"011000","2"
"011010","2"
"011100","2"
"011110","1"
"100000","583"
"100001","8"
"100010","522"
"100011","6"
"100100","503"
"100101","4"
"100110","479"
"100111","7"
"101000","2"
"101010","1"
"101100","1"
"101110","2"
"110000","485"
"110001","6"
"110010","534"
"110011","6"
"110100","472"
"110101","6"
"110110","560"
"110111","6"
"111000","1"
"111001","1"
"111010","2"
"111110","2"
