"Measurement outcome","Frequency"
"0x10003c","1"
"0x100130","1"
"0x100278","1"
"0x100380","1"
"0x10060","1"
"0x10069e","1"
"0x100726","1"
"0x1007e6","1"
"0x1007f2","1"
"0x100e2","1"
"0x101062","1"
"0x101092","1"
"0x1010d8","1"
"0x101310","1"
"0x101396","1"
"0x10145e","1"
"0x102204","1"
"0x102220","1"
"0x102328","1"
"0x102500","1"
"0x10264c","1"
"0x1027f2","1"
"0x103036","1"
"0x103376","1"
"0x1036e","1"
"0x10373c","1"
"0x104158","1"
"0x1041bc","1"
"0x104680","1"
"0x1046be","1"
"0x10482","1"
"0x105128","1"
"0x105256","1"
"0x10530a","1"
"0x10534e","1"
"0x1054b2","1"
"0x106142","1"
"0x1061f2","1"
"0x106236","1"
"0x1062fa","1"
"0x106398","1"
"0x1064b2","1"
"0x10653e","1"
"0x10671e","1"
"0x10675c","1"
"0x1067c2","1"
"0x1070d0","1"
"0x10726","1"
"0x10747a","1"
"0x1074d6","1"
"0x107680","1"
"0x1077e","1"
"0x10796","1"
"0x108008","1"
"0x108182","1"
"0x1081f4","1"
"0x10821a","1"
"0x10847c","1"
"0x1084d6","1"
"0x108746","1"
"0x10911e","1"
"0x10926e","1"
"0x109598","1"
"0x10a046","1"
"0x10a14e","1"
"0x10a326","1"
"0x10a40a","1"
"0x10a420","1"
"0x10a458","1"
"0x10a600","1"
"0x10a644","1"
"0x10b0c0","1"
"0x10b24a","1"
"0x10b360","1"
"0x10b5f2","1"
"0x10c01c","1"
"0x10c038","1"
"0x10c3e0","1"
"0x10d182","1"
"0x10d1ca","1"
"0x10d1f2","1"
"0x10d292","1"
"0x10d352","1"
"0x10d440","1"
"0x10d644","1"
"0x10d796","1"
"0x10e0ae","1"
"0x10e0b6","1"
"0x10e1aa","1"
"0x10e2cc","1"
"0x10e2ee","1"
"0x10e50a","1"
"0x10e51e","1"
"0x10e658","1"
"0x10f27a","1"
"0x10f328","1"
"0x10f34a","1"
"0x10f3a4","1"
"0x10f440","1"
"0x10f4c6","1"
"0x10f502","1"
"0x10f570","1"
"0x10f692","1"
"0x10f710","1"
"0x10f7ce","1"
"0x110036","1"
"0x1101d0","1"
"0x110374","1"
"0x1104fe","1"
"0x110502","1"
"0x110634","1"
"0x1106a","1"
"0x110706","1"
"0x1107c2","1"
"0x1107e","1"
"0x1107f4","1"
"0x1111e6","1"
"0x11151c","1"
"0x111552","1"
"0x1115b2","1"
"0x1115c","1"
"0x1115d6","1"
"0x111754","1"
"0x11204a","1"
"0x1120de","1"
"0x11217e","1"
"0x112204","1"
"0x11226e","1"
"0x1124c8","1"
"0x112744","1"
"0x1130d4","1"
"0x11322c","1"
"0x113274","1"
"0x1132de","1"
"0x1133d6","1"
"0x113520","1"
"0x113554","1"
"0x113676","1"
