"Measurement outcome","Frequency"
"0x10002e","1"
"0x10004c","1"
"0x1000d2","1"
"0x100144","1"
"0x10014c","1"
"0x100196","1"
"0x1001a","1"
"0x1002","1"
"0x1002b4","1"
"0x1002c0","1"
"0x1002f6","1"
"0x100360","1"
"0x10042","1"
"0x10042e","1"
"0x10102c","1"
"0x101190","1"
"0x1011e0","1"
"0x101268","1"
"0x10127c","1"
"0x10131a","1"
"0x101324","1"
"0x101474","1"
"0x101514","1"
"0x10151a","1"
"0x1015ee","1"
"0x101654","1"
"0x101672","1"
"0x10167a","1"
"0x1016fe","1"
"0x101720","1"
"0x1017b2","1"
"0x10203e","1"
"0x10209a","1"
"0x1020aa","1"
"0x1020fc","1"
"0x10214c","1"
"0x102198","1"
"0x102216","1"
"0x102270","1"
"0x1022d6","1"
"0x1023e8","1"
"0x10259c","1"
"0x1026c4","1"
"0x1027c4","1"
"0x10300a","1"
"0x10302a","1"
"0x1031ba","1"
"0x10327d","1"
"0x1032ea","1"
"0x10330a","1"
"0x10332a","1"
"0x10334c","1"
"0x103430","1"
"0x10348e","1"
"0x1036da","1"
"0x10406e","1"
"0x104204","1"
"0x104220","1"
"0x104340","1"
"0x104362","1"
"0x104368","1"
"0x104380","1"
"0x104402","1"
"0x10444e","1"
"0x10445a","1"
"0x1046d3","1"
"0x105066","1"
"0x10506c","1"
"0x1052de","1"
"0x10537a","1"
"0x105456","1"
"0x105478","1"
"0x1054b2","1"
"0x105540","1"
"0x1055e6","1"
"0x105648","1"
"0x105756","1"
"0x1057b0","1"
"0x10606a","1"
"0x106236","1"
"0x10630c","1"
"0x10644a","1"
"0x1064c2","1"
"0x1064ca","1"
"0x1065c6","1"
"0x106640","1"
"0x1066ba","1"
"0x106fc","1"
"0x10703a","1"
"0x1070b4","1"
"0x1070e4","1"
"0x1070f4","1"
"0x1071a8","1"
"0x10726c","1"
"0x1072a0","1"
"0x1072ea","1"
"0x107320","1"
"0x1073cc","1"
"0x10741e","1"
"0x1076","1"
"0x107b6","1"
"0x1080ea","1"
"0x108174","1"
"0x1081ce","1"
"0x108200","1"
"0x1082b6","1"
"0x1082bc","1"
"0x1082e0","1"
"0x1082e6","1"
